"","Type","Cap_shape","odor","stalk_root","veil_type","population"
"4943","poisonous","flat","foul","bulbous","partial","solitary"
"4948","poisonous","convex","foul","bulbous","partial","solitary"
"4949","poisonous","convex","foul","bulbous","partial","solitary"
"4954","poisonous","flat","foul","bulbous","partial","solitary"
"4957","poisonous","flat","foul","bulbous","partial","solitary"
"4960","poisonous","flat","foul","bulbous","partial","solitary"
"4961","poisonous","convex","foul","bulbous","partial","solitary"
"4962","poisonous","flat","foul","bulbous","partial","solitary"
"4963","poisonous","flat","foul","bulbous","partial","solitary"
"4972","poisonous","flat","foul","bulbous","partial","solitary"
"4973","poisonous","convex","foul","bulbous","partial","solitary"
"4975","poisonous","flat","foul","bulbous","partial","solitary"
"4978","poisonous","flat","foul","bulbous","partial","solitary"
"4980","poisonous","convex","foul","bulbous","partial","solitary"
"4982","poisonous","flat","foul","bulbous","partial","solitary"
"4984","poisonous","convex","foul","bulbous","partial","solitary"
"4989","poisonous","convex","foul","bulbous","partial","solitary"
"4992","poisonous","convex","foul","bulbous","partial","solitary"
"4995","poisonous","flat","foul","bulbous","partial","solitary"
"4998","poisonous","flat","foul","bulbous","partial","solitary"
"5005","poisonous","flat","foul","bulbous","partial","solitary"
"5008","poisonous","flat","foul","bulbous","partial","solitary"
"5009","poisonous","flat","foul","bulbous","partial","solitary"
"5010","poisonous","convex","foul","bulbous","partial","solitary"
"5017","poisonous","flat","foul","bulbous","partial","solitary"
"5023","poisonous","flat","foul","bulbous","partial","solitary"
"5025","poisonous","convex","foul","bulbous","partial","solitary"
"5026","poisonous","flat","foul","bulbous","partial","solitary"
"5030","poisonous","flat","foul","bulbous","partial","solitary"
"5031","poisonous","flat","foul","bulbous","partial","solitary"
"5032","poisonous","flat","foul","bulbous","partial","solitary"
"5035","poisonous","convex","foul","bulbous","partial","solitary"
"5036","poisonous","convex","foul","bulbous","partial","solitary"
"5037","poisonous","convex","foul","bulbous","partial","solitary"
"5039","poisonous","flat","foul","bulbous","partial","solitary"
"5040","poisonous","convex","foul","bulbous","partial","solitary"
"5043","poisonous","convex","foul","bulbous","partial","solitary"
"5047","poisonous","flat","foul","bulbous","partial","solitary"
"5048","poisonous","convex","foul","bulbous","partial","solitary"
"5050","poisonous","convex","foul","bulbous","partial","solitary"
"5055","poisonous","convex","foul","bulbous","partial","solitary"
"5056","poisonous","flat","foul","bulbous","partial","solitary"
"5057","poisonous","convex","foul","bulbous","partial","solitary"
"5058","poisonous","flat","foul","bulbous","partial","solitary"
"5063","poisonous","convex","foul","bulbous","partial","solitary"
"5067","poisonous","flat","foul","bulbous","partial","solitary"
"5068","poisonous","flat","foul","bulbous","partial","solitary"
"5077","poisonous","flat","foul","bulbous","partial","solitary"
"5079","poisonous","flat","foul","bulbous","partial","solitary"
"5081","poisonous","convex","foul","bulbous","partial","solitary"
"5084","poisonous","convex","foul","bulbous","partial","solitary"
"5085","poisonous","convex","foul","bulbous","partial","solitary"
"5087","poisonous","flat","foul","bulbous","partial","solitary"
"5090","poisonous","flat","foul","bulbous","partial","solitary"
"5095","poisonous","convex","foul","bulbous","partial","solitary"
"5097","poisonous","convex","foul","bulbous","partial","solitary"
"5103","poisonous","flat","foul","bulbous","partial","solitary"
"5111","poisonous","convex","foul","bulbous","partial","solitary"
"5113","poisonous","flat","foul","bulbous","partial","solitary"
"5139","poisonous","flat","foul","bulbous","partial","solitary"
"5140","poisonous","convex","foul","bulbous","partial","solitary"
"5144","poisonous","flat","foul","bulbous","partial","solitary"
"5147","poisonous","convex","foul","bulbous","partial","solitary"
"5153","poisonous","flat","foul","bulbous","partial","solitary"
"5159","poisonous","flat","foul","bulbous","partial","solitary"
"5168","poisonous","convex","foul","bulbous","partial","solitary"
"5171","poisonous","convex","foul","bulbous","partial","solitary"
"5183","poisonous","flat","foul","bulbous","partial","solitary"
"5188","poisonous","flat","foul","bulbous","partial","solitary"
"5201","poisonous","flat","foul","bulbous","partial","solitary"
"5221","poisonous","flat","foul","bulbous","partial","solitary"
"5235","poisonous","flat","foul","bulbous","partial","solitary"
"5247","poisonous","convex","foul","bulbous","partial","solitary"
"5250","poisonous","flat","foul","bulbous","partial","solitary"
"5262","poisonous","flat","foul","bulbous","partial","solitary"
"5271","poisonous","flat","foul","bulbous","partial","solitary"
"5280","poisonous","flat","foul","bulbous","partial","solitary"
"5289","poisonous","flat","foul","bulbous","partial","solitary"
"5294","poisonous","flat","foul","bulbous","partial","solitary"
"5295","poisonous","flat","foul","bulbous","partial","solitary"
"5340","poisonous","flat","foul","bulbous","partial","solitary"
"5344","poisonous","flat","foul","bulbous","partial","solitary"
"5353","poisonous","flat","foul","bulbous","partial","solitary"
"5356","poisonous","flat","foul","bulbous","partial","solitary"
"5359","poisonous","flat","foul","bulbous","partial","solitary"
"5360","poisonous","flat","foul","bulbous","partial","solitary"
"5364","poisonous","flat","foul","bulbous","partial","solitary"
"5368","poisonous","flat","foul","bulbous","partial","solitary"
"5371","poisonous","flat","foul","bulbous","partial","solitary"
"5398","poisonous","flat","foul","bulbous","partial","solitary"
"5400","poisonous","flat","foul","bulbous","partial","solitary"
"5407","poisonous","flat","foul","bulbous","partial","solitary"
"5428","poisonous","convex","foul","bulbous","partial","solitary"
"5455","poisonous","flat","foul","bulbous","partial","solitary"
"5456","poisonous","convex","foul","bulbous","partial","solitary"
"5460","poisonous","flat","foul","bulbous","partial","solitary"
"5487","poisonous","convex","foul","bulbous","partial","solitary"
"5492","poisonous","flat","foul","bulbous","partial","solitary"
"5496","poisonous","flat","foul","bulbous","partial","solitary"
"5507","poisonous","flat","foul","bulbous","partial","solitary"
"5517","poisonous","flat","foul","bulbous","partial","solitary"
"5519","poisonous","convex","foul","bulbous","partial","solitary"
"5525","poisonous","flat","foul","bulbous","partial","solitary"
"5542","poisonous","convex","foul","bulbous","partial","solitary"
"5543","poisonous","flat","foul","bulbous","partial","solitary"
"5544","poisonous","flat","foul","bulbous","partial","solitary"
"5612","poisonous","flat","foul","bulbous","partial","solitary"
"5614","poisonous","convex","foul","bulbous","partial","solitary"
"5626","poisonous","convex","foul","bulbous","partial","solitary"
"5636","poisonous","flat","foul","bulbous","partial","solitary"
"5643","poisonous","flat","foul","bulbous","partial","solitary"
"5649","poisonous","flat","foul","bulbous","partial","solitary"
"5651","poisonous","flat","foul","bulbous","partial","solitary"
"5652","poisonous","flat","foul","bulbous","partial","solitary"
"5663","poisonous","flat","foul","bulbous","partial","solitary"
"5666","poisonous","flat","foul","bulbous","partial","solitary"
"5668","poisonous","convex","foul","bulbous","partial","solitary"
"5672","poisonous","convex","foul","bulbous","partial","solitary"
"5673","poisonous","flat","foul","bulbous","partial","solitary"
"5676","poisonous","flat","foul","bulbous","partial","solitary"
"5697","poisonous","flat","foul","bulbous","partial","solitary"
"5702","poisonous","flat","foul","bulbous","partial","solitary"
"5785","poisonous","flat","foul","bulbous","partial","solitary"
"5793","poisonous","convex","foul","bulbous","partial","solitary"
"5796","poisonous","flat","foul","bulbous","partial","solitary"
"5804","poisonous","flat","foul","bulbous","partial","solitary"
"5830","poisonous","flat","foul","bulbous","partial","solitary"
"5833","poisonous","flat","foul","bulbous","partial","solitary"
"5844","poisonous","flat","foul","bulbous","partial","solitary"
"5846","poisonous","flat","foul","bulbous","partial","solitary"
"5853","poisonous","flat","foul","bulbous","partial","solitary"
"5857","poisonous","flat","foul","bulbous","partial","solitary"
"5858","poisonous","convex","foul","bulbous","partial","solitary"
"5871","poisonous","flat","foul","bulbous","partial","solitary"
"5877","poisonous","flat","foul","bulbous","partial","solitary"
"5882","poisonous","convex","foul","bulbous","partial","solitary"
"5891","poisonous","flat","foul","bulbous","partial","solitary"
"5900","poisonous","flat","foul","bulbous","partial","solitary"
"5903","poisonous","flat","foul","bulbous","partial","solitary"
"5905","poisonous","flat","foul","bulbous","partial","solitary"
"5910","poisonous","flat","foul","bulbous","partial","solitary"
"5916","poisonous","flat","foul","bulbous","partial","solitary"
"5925","poisonous","flat","foul","bulbous","partial","solitary"
"5926","poisonous","flat","foul","bulbous","partial","solitary"
"5955","poisonous","flat","foul","bulbous","partial","solitary"
"5958","poisonous","flat","foul","bulbous","partial","solitary"
"5959","poisonous","convex","foul","bulbous","partial","solitary"
"5968","poisonous","flat","foul","bulbous","partial","solitary"
"5984","poisonous","flat","foul","bulbous","partial","solitary"
"5991","poisonous","flat","foul","bulbous","partial","solitary"
"6000","poisonous","flat","foul","bulbous","partial","solitary"
